Brand,Model,Year of Fabrication,Kilometres,Location,PriceEuro
Skoda,Scala,2023,2 300 km,"B-dul Garii nr. 3A - 500199 Brasov, Judet Brasov (Romania)","18 326"
BMW,X1,2014,219 500 km,"com. Geamana Str. Targului ,NR 21/ IN PITESTI/ - 117141 Pitesti, Judet Arges (Romania)","12 490"
Toyota,Corolla,2019,57 217 km,"STR. DISTRIBUTIEI, NR. 4 - 550135 Sibiu, Judet Sibiu (Romania)","19 850"
Volkswagen,Passat,2018,253 000 km,"STR.BERLIN NR.20 VLADIMIRESCU - 317405 Arad, Judet Arad (Romania)","13 300"
Mercedes-Benz,B,2014,216 000 km,"STR.BERLIN NR.20 VLADIMIRESCU - 317405 Arad, Judet Arad (Romania)","9 300"
Mercedes-Benz,CLA,2018,105 000 km,"Magurele str Magnoliei nr.10 - 077125 Magurele, Judet Bucuresti - Ilfov (Romania)","22 955"
Bentley,Continental,2022,4 900 km,"Calea Bucureștilor 289, Otopeni, România - 075100 Otopeni, Judet Bucuresti - Ilfov (Romania)","235 620"
BMW,X6 M,2023,190 km,"Strada Verzisori Nr.50 - 040301 Bucuresti, Judet Bucuresti (Romania)","158 984"
BMW,Seria 5,2019,115 762 km,"STR. DISTRIBUTIEI, NR. 4 - 550135 Sibiu, Judet Sibiu (Romania)","31 990"
Ford,Focus,2010,280 791 km,"STR. DISTRIBUTIEI, NR. 4 - 550135 Sibiu, Judet Sibiu (Romania)","3 490"
Audi,Q7,2020,125 500 km,"Soseaua Sighisoarei nr 395/p - 547367 Corunca, Judet Mures (Romania)","61 989"
Lamborghini,Huracan,2016,28 000 km,"Strada Comerțului 5, Domnești, Ilfov, Romania - 077090 Domnesti, Judet Bucuresti - Ilfov (Romania)","219 000"
Ferrari,488 Spider,2018,22 000 km,"Strada Comerțului 5, Domnești, Ilfov, Romania - 077090 Domnesti, Judet Bucuresti - Ilfov (Romania)","225 000"
BMW,X5 M,2021,25 000 km,"Strada Comerțului 5, Domnești, Ilfov, Romania - 077090 Domnesti, Judet Bucuresti - Ilfov (Romania)","95 000"
Lamborghini,Huracan,2020,13 000 km,"Strada Comerțului 5, Domnești, Ilfov, Romania - 077090 Domnesti, Judet Bucuresti - Ilfov (Romania)","258 999"
Audi,Q5,2017,96 929 km,"RETEA NATIONALA DE VANZARI - BUCURESTI Galati, Judet Galati (Romania)","33 308"
Volkswagen,Golf Plus,2013,156 000 km,"PITESTI - 117141 Pitesti, Judet Arges (Romania)","6 590"
Mitsubishi,Outlander,2019,91 000 km,"B-dul Garii nr. 3A - 500199 Brasov, Judet Brasov (Romania)","23 990"
Volkswagen,Golf Plus,2008,163 000 km,"Ion Ionescu de la Brad,nr.29 - 300245 Timisoara, Judet Timis (Romania)","4 900"
Renault,Koleos,2012,185 000 km,"Bucuresti, Sectorul 1","7 649"
BMW,X5,2020,110 084 km,"Bulevardul Pipera 1 Voluntari, Romania - 077191 Voluntari, Judet Bucuresti - Ilfov (Romania)","65 450"
Audi,A6,2015,235 000 km,"Str.Plevnei Nr.117 - 400394 Cluj-Napoca, Judet Cluj (Romania)","21 490"
Kia,Sportage,2011,194 000 km,"Constructorilor nr 28 - 300571 Timisoara, Judet Timis (Romania)","8 999"
DS Automobiles,DS 4 Crossback,2017,114 771 km,"RETEA NATIONALA DE VANZARI - BUCURESTI Galati, Judet Galati (Romania)","15 458"
Audi,A6,2017,206 000 km,"Str.Plevnei Nr.117 - 400394 Cluj-Napoca, Judet Cluj (Romania)","21 490"
Mercedes-Benz,G,2023,1 200 km,"Strada Comerțului 5, Domnești, Ilfov, Romania - 077090 Domnesti, Judet Bucuresti - Ilfov (Romania)","159 000"
Volkswagen,Passat,2019,166 181 km,"Brasov Prejmer strada mare 645A - 507165 Prejmer, Judet Brasov (Romania)","13 450"
Audi,A6,2016,178 000 km,"Magurele str Magnoliei nr.10 - 077125 Magurele, Judet Bucuresti - Ilfov (Romania)","21 350"
Audi,A5,2018,179 600 km,"Magurele str Magnoliei nr.10 - 077125 Magurele, Judet Bucuresti - Ilfov (Romania)","24 990"
BMW,Seria 3,2018,157 000 km,"Magurele str Magnoliei nr.10 - 077125 Magurele, Judet Bucuresti - Ilfov (Romania)","23 970"
